Type,Cases,Deaths
Linear Model,69645.0,6196.280534295716
Linear Model,70736.0,6214.236868121606
Linear Model,71886.0,6233.16425941379
Linear Model,73083.0,6252.865204958785
Linear Model,74307.0,6273.010532734119
Linear Model,75428.0,6291.460624593718
Linear Model,76691.0,6312.2478378128735
Linear Model,77871.0,6331.668987138768
Linear Model,78992.0,6350.119078998367
Linear Model,80033.0,6367.252482768074
Linear Model,81183.0,6386.179874060259
Linear Model,82488.0,6407.658348526607
Linear Model,83650.0,6426.783243032275
Linear Model,84814.0,6445.94105474019
Linear Model,85823.0,6462.547783273942
Linear Model,86749.0,6477.788447914431
Linear Model,87697.0,6493.391201779641
Linear Model,88502.0,6506.64037568417
Linear Model,89380.0,6521.091027470724
Linear Model,90219.0,6534.899793813457
Linear Model,91054.0,6548.642725751695
Linear Model,91805.0,6561.003135195548
Linear Model,92488.0,6572.244359762994
Linear Model,93330.0,6586.102501909097
Linear Model,93991.0,6596.981637251822
Linear Model,94658.0,6607.959524201289
Linear Model,95283.0,6618.2461499035635
Linear Model,95949.0,6629.207578251906
Linear Model,96497.0,6638.22689166766
Linear Model,97164.0,6649.204778617128
Linear Model,97685.0,6657.779709802543
Linear Model,98174.0,6665.8279657520025
Linear Model,98669.0,6673.9749733082035
Linear Model,99118.0,6681.364885212717
Linear Model,99548.0,6688.442083695882
Linear Model,99959.0,6695.206568757698
Linear Model,100286.0,6700.588531325127
Linear Model,100655.0,6706.66175513975
Linear Model,101021.0,6712.6856031510015
Linear Model,101429.0,6719.400712409446
Linear Model,101830.0,6726.0006114600255
Linear Model,102233.0,6732.633427712852
Linear Model,102652.0,6739.529581583656
Linear Model,102957.0,6744.549454926366
Linear Model,103313.0,6750.408716926381
Linear Model,103707.0,6756.893405769095
Linear Model,104063.0,6762.75266776911
Linear Model,104387.0,6768.085254533169
Linear Model,104638.0,6772.216363415202
Linear Model,104975.0,6777.762911993868
Linear Model,105348.0,6783.901970212986
Linear Model,105732.0,6790.222073044463
Linear Model,106029.0,6795.110277578184
Linear Model,106227.0,6798.369080600664
Linear Model,106583.0,6804.22834260068
Linear Model,106903.0,6809.495094960244
Linear Model,107116.0,6813.000776999579
Linear Model,107303.0,6816.0785354097
Linear Model,107718.0,6822.908854876009
Linear Model,107973.0,6827.105798162537
Linear Model,108302.0,6832.520677932214
Linear Model,108617.0,6837.705137286161
Linear Model,108957.0,6843.301061668198
Linear Model,109133.0,6846.197775465958
Linear Model,109292.0,6848.814693044616
Linear Model,109965.0,6859.891331600826
Linear Model,110352.0,6866.2608102356735
Linear Model,110713.0,6872.202365241307
Linear Model,111160.0,6879.559359943573
Linear Model,111630.0,6887.294902471684
Linear Model,111976.0,6892.989578460463
Linear Model,112231.0,6897.18652174699
Linear Model,112982.0,6909.546931190844
Linear Model,113487.0,6917.8585247582805
Linear Model,113836.0,6923.602576550431
Linear Model,114494.0,6934.432336089785
Linear Model,115208.0,6946.183777292063
Linear Model,115554.0,6951.878453280842
Linear Model,115851.0,6956.766657814563
Linear Model,116477.0,6967.06974211796
Linear Model,116838.0,6973.011297123594
Linear Model,117325.0,6981.026635870806
Linear Model,117740.0,6987.856955337116
Linear Model,118297.0,6997.024396162982
Linear Model,118523.0,7000.744040016925
Linear Model,118719.0,7003.969925837158
Linear Model,118945.0,7007.6895696911
Linear Model,119658.0,7019.424552292255
Linear Model,120002.0,7025.086311078787
