Country,Date,Cases,Deaths,Tests,Cases/Population,Diff Cases/Population,Deaths/Cases,Tests/Cases
United States,2021-01-03,20763475.0,358307.0,260951077.0,6.32647014015844,6.363589274832382,1.7256600833916287,12.567794022917647
United States,2021-01-04,20947480.0,360407.0,262344347.0,6.382535039609993,5.606489945155335,1.720526765033312,12.52390965404908
United States,2021-01-05,21182522.0,364095.0,264297572.0,6.454150517976844,7.161547836685056,1.718846320565606,12.477153192617951
United States,2021-01-06,21438159.0,367990.0,266616770.0,6.53204113345521,7.7890615478366065,1.7165186618869652,12.436551571429245
United States,2021-01-07,21716496.0,371996.0,268868987.0,6.616848263254113,8.480712979890281,1.712965111867034,12.38086415966922
United States,2021-01-08,22011753.0,376093.0,271013304.0,6.7068107861060335,8.996252285192075,1.7086008551885894,12.31220902760448
United States,2021-01-09,22272720.0,379397.0,272725897.0,6.786325411334553,7.9514625228519265,1.703415658258174,12.2448401901519
United States,2021-01-10,22486135.0,381414.0,273885375.0,6.851351310176722,6.502589884216903,1.6962185809166406,12.180189036488485
United States,2021-01-11,22700799.0,383515.0,275401765.0,6.916757769652651,6.54064594759296,1.689433926973231,12.131809325301722
United States,2021-01-12,22927766.0,387976.0,277421989.0,6.985912858013406,6.915508836075457,1.6921666070737111,12.099826428793804
United States,2021-01-13,23158067.0,391971.0,279520802.0,7.056083790371724,7.017093235831773,1.6925894548970775,12.070126664716879
United States,2021-01-14,23393833.0,395941.0,281589855.0,7.127919865935405,7.183607556368088,1.6925016092916454,12.036926783225306
United States,2021-01-15,23636613.0,399850.0,283619193.0,7.2018930530164535,7.397318708104894,1.6916552299604009,11.999146958999583
United States,2021-01-16,23838471.0,403266.0,285200080.0,7.263397623400365,6.150457038391188,1.6916605096023145,11.963857916894083
United States,2021-01-17,24016402.0,405166.0,286266935.0,7.317611822059719,5.421419865935384,1.6870387162906417,11.919642875731343
United States,2021-01-18,24160000.0,406724.0,287551443.0,7.361365021328458,4.3753199268739,1.6834602649006623,11.901963700331125
United States,2021-01-19,24336216.0,409432.0,289354448.0,7.415056672760512,5.369165143205379,1.6823979537328237,11.889870142506954
United States,2021-01-20,24519477.0,413848.0,291477303.0,7.470894881170017,5.583820840950526,1.687833716844776,11.887582390113787
United States,2021-01-21,24713333.0,418034.0,293520121.0,7.5299613040828755,5.906642291285813,1.691532259125064,11.87699453570265
United States,2021-01-22,24904093.0,421857.0,295435610.0,7.588084399756247,5.812309567337159,1.6939263758772503,11.862933936200768
United States,2021-01-23,25074852.0,425227.0,296977855.0,7.640113345521024,5.202894576477668,1.6958305476738207,11.843653354364763
United States,2021-01-24,25206050.0,427089.0,297976753.0,7.6800883607556365,3.9975015234612776,1.6943908307727709,11.821636194485054
United States,2021-01-25,25357727.0,429069.0,299203028.0,7.726303168799513,4.621480804387623,1.6920641191538972,11.799284218179334
United States,2021-01-26,25505353.0,433092.0,300976470.0,7.77128366849482,4.498049969530715,1.6980435440356383,11.800521639516223
United States,2021-01-27,25659314.0,437036.0,303031140.0,7.8181943936624005,4.691072516758066,1.7032255811671348,11.809791173684534
United States,2021-01-28,25828118.0,441048.0,304927778.0,7.869627666057283,5.143327239488205,1.7076273230593106,11.806039371509764
United States,2021-01-29,25994731.0,444691.0,306761069.0,7.920393357708715,5.07656916514323,1.710696679261655,11.800894150433793
United States,2021-01-30,26137190.0,447485.0,308192526.0,7.963799512492383,4.340615478366772,1.7120623907925834,11.791341226811298
United States,2021-01-31,26249342.0,449347.0,309136592.0,7.997971358927483,3.4171846435100406,1.7118410053859636,11.776927284501074
United States,2021-02-01,26384317.0,451426.0,310168805.0,8.0390971968312,4.1125837903717155,1.7109633726732438,11.755801940978802
